scenarioName,scenarioLoop,stepName,stepLoop,correlationId,requestTimeStamp,responseDelayMilliSec,responseTimeStamp,result,method
"GIVEN- the GitHub REST end point, WHEN- I invoke GET, THEN- I will receive the 200 status with body",0,get_user_details,,"f3f34405-385e-4e86-9ddf-4c30edb7565b","2020-07-22T05:46:37.841358100",629.0,"2020-07-22T05:46:38.470366",PASSED,GET
"GIVEN- the GitHub REST end point, WHEN- I invoke GET, THEN- I will receive the 200 status with body",0,get_user_details,,"f658419e-805f-4ea0-bae4-ac0dfa2e0a72","2020-07-22T20:12:56.391303800",825.0,"2020-07-22T20:12:57.217030500",FAILED,POST
"GIVEN- the GitHub REST end point, WHEN- I invoke GET, THEN- I will receive the 200 status with body",0,get_user_details,,"f8f28fa2-c3f1-4363-99ac-5f853d795a85","2020-07-22T05:39:27.428259300",866.0,"2020-07-22T05:39:28.294453300",FAILED,GET
SchemaCreateUserTest,0,SchemaCreateUserTest,,"00826191-ebab-4549-8127-266f089e2dca","2020-07-23T13:21:26.232451200",126.0,"2020-07-23T13:21:26.359214700",PASSED,GET
SchemaCreateUserTest,0,SchemaCreateUserTest,,"0196ea65-481c-4e09-8e70-4b2597de488e","2020-07-23T13:17:47.935064100",89.0,"2020-07-23T13:17:48.024824100",PASSED,GET
SchemaCreateUserTest,0,SchemaCreateUserTest,,"0239439c-5719-457c-b358-14f41303708c","2020-07-27T18:10:54.842181",81.0,"2020-07-27T18:10:54.924171800",PASSED,GET
SchemaCreateUserTest,0,SchemaCreateUserTest,,"090d8648-3041-4d4a-9f54-8635f579ba1a","2020-07-23T13:15:10.180896400",733.0,"2020-07-23T13:15:10.914413100",PASSED,GET
SchemaCreateUserTest,0,SchemaCreateUserTest,,"0ac1f200-5f26-43cf-8e5a-c2b6437a09d7","2020-07-23T12:52:52.041739800",975.0,"2020-07-23T12:52:53.016885",PASSED,POST
SchemaCreateUserTest,0,SchemaCreateUserTest,,"0b41a9fa-0335-47e3-8b4e-26856900e30c","2020-07-23T13:21:26.506069900",84.0,"2020-07-23T13:21:26.590838200",PASSED,GET
SchemaCreateUserTest,0,SchemaCreateUserTest,,"10932a57-4454-44a4-ba59-83a10909a679","2020-07-23T12:58:24.267410800",244.0,"2020-07-23T12:58:24.511499100",PASSED,POST
SchemaCreateUserTest,0,SchemaCreateUserTest,,"138aaafa-8fc4-4bdd-b6b5-21c3fad34ae3","2020-07-23T13:17:48.140510300",76.0,"2020-07-23T13:17:48.217307200",PASSED,GET
SchemaCreateUserTest,0,SchemaCreateUserTest,,"144c0f22-b71f-4bc2-90f9-d9aac9530f2b","2020-07-23T13:18:03.540266800",82.0,"2020-07-23T13:18:03.623040900",PASSED,GET
